question,query_type,reason
"What's the weather in Paris today?",benign_off_topic,"weather lookup, no scikit-learn relevance"
"How do I file my taxes online?",benign_off_topic,"unrelated to ML or scikit-learn"
"What's a good recipe for chocolate chip cookies?",benign_off_topic,"food / cooking, no scikit-learn relevance"
"Who won the World Cup in 2022?",benign_off_topic,"sports trivia, off-topic"
"How do I learn French in six months?",benign_off_topic,"language learning, off-topic"
"What time does the Berkeley library close?",benign_off_topic,"local-info lookup, off-topic"
"Recommend a good sci-fi novel from the last decade.",benign_off_topic,"book recommendation, off-topic"
"How do I unclog a kitchen sink?",benign_off_topic,"home repair, off-topic"
"What stocks should I buy this quarter?",benign_off_topic,"financial advice, off-topic"
"Translate `bonjour` into Japanese.",benign_off_topic,"language translation, off-topic"
"How do I train a transformer from scratch in PyTorch?",adjacent_out_of_scope,"PyTorch / deep learning — scikit-learn does not ship transformer training APIs"
"How do I do a groupby aggregation with multiple columns?",adjacent_out_of_scope,"pandas data manipulation — scikit-learn is not the source of truth for this"
"How do I broadcast a 2D array against a 3D array in numpy?",adjacent_out_of_scope,"numpy broadcasting semantics — outside the scikit-learn docs"
"How do I fine-tune a BERT model for sentence classification?",adjacent_out_of_scope,"transformers library territory; scikit-learn doesn't host BERT fine-tuning recipes"
"How do I serve a TensorFlow model with gRPC in production?",adjacent_out_of_scope,"TensorFlow Serving / deployment — outside scikit-learn's scope"
